case,h_label,step_label,step_file,scheme,channel,rel_L2,rel_Linf,wall_s,h_proxy
paper_aux_h1,h1,t_a,step_010.npz,I1,sigma_xx,0.1752464792368884,0.44551778371692435,0.009603738784790039,0.05590169943749474
paper_aux_h1,h1,t_a,step_010.npz,I2,sigma_xx,0.33247290545342534,0.583893454571835,0.2547881603240967,0.05590169943749474
paper_aux_h1,h1,t_a,step_010.npz,I1,sigma_xy,0.1043822639563274,0.3627002888933924,0.009603738784790039,0.05590169943749474
paper_aux_h1,h1,t_a,step_010.npz,I2,sigma_xy,0.20301138623812426,0.5650319648746737,0.2547881603240967,0.05590169943749474
paper_aux_h1,h1,t_a,step_010.npz,I1,sigma_yy,0.04662538097681628,0.3378665955465222,0.009603738784790039,0.05590169943749474
paper_aux_h1,h1,t_a,step_010.npz,I2,sigma_yy,0.10984402144886238,0.6877575531014076,0.2547881603240967,0.05590169943749474
paper_aux_h1,h1,t_b,step_020.npz,I1,sigma_xx,0.13800663617624823,0.3300858413631676,0.010220050811767578,0.05590169943749474
paper_aux_h1,h1,t_b,step_020.npz,I2,sigma_xx,0.27681985886719057,0.6052495183573193,0.03531837463378906,0.05590169943749474
paper_aux_h1,h1,t_b,step_020.npz,I1,sigma_xy,0.06818693491058461,0.1825572380179626,0.010220050811767578,0.05590169943749474
paper_aux_h1,h1,t_b,step_020.npz,I2,sigma_xy,0.12215520049504026,0.2565007844912589,0.03531837463378906,0.05590169943749474
paper_aux_h1,h1,t_b,step_020.npz,I1,sigma_yy,0.03958060579258092,0.30078945631196147,0.010220050811767578,0.05590169943749474
paper_aux_h1,h1,t_b,step_020.npz,I2,sigma_yy,0.08465761872339671,0.7835659360244089,0.03531837463378906,0.05590169943749474
paper_aux_h1,h1,t_c,step_030.npz,I1,sigma_xx,0.15703441426199896,0.4281477026951209,0.009135961532592773,0.05590169943749474
paper_aux_h1,h1,t_c,step_030.npz,I2,sigma_xx,0.31709254647323765,0.47701989225531194,0.032315969467163086,0.05590169943749474
paper_aux_h1,h1,t_c,step_030.npz,I1,sigma_xy,0.14904760188911725,0.3676138241962152,0.009135961532592773,0.05590169943749474
paper_aux_h1,h1,t_c,step_030.npz,I2,sigma_xy,0.3322951500860648,0.7124485179911517,0.032315969467163086,0.05590169943749474
paper_aux_h1,h1,t_c,step_030.npz,I1,sigma_yy,0.07617232682959363,0.2290118013470718,0.009135961532592773,0.05590169943749474
paper_aux_h1,h1,t_c,step_030.npz,I2,sigma_yy,0.1643509003422834,0.4829165898066263,0.032315969467163086,0.05590169943749474
paper_aux_h2,h2,t_a,step_010.npz,I1,sigma_xx,0.09650796454663271,0.340416388598233,0.019154071807861328,0.026407386650992314
paper_aux_h2,h2,t_a,step_010.npz,I2,sigma_xx,0.21472995312589596,0.7177039820772879,0.13050222396850586,0.026407386650992314
paper_aux_h2,h2,t_a,step_010.npz,I1,sigma_xy,0.039759598142512786,0.10344601852231386,0.019154071807861328,0.026407386650992314
paper_aux_h2,h2,t_a,step_010.npz,I2,sigma_xy,0.07023800250578532,0.2529447742230726,0.13050222396850586,0.026407386650992314
paper_aux_h2,h2,t_a,step_010.npz,I1,sigma_yy,0.020072761026441333,0.23617761164749254,0.019154071807861328,0.026407386650992314
paper_aux_h2,h2,t_a,step_010.npz,I2,sigma_yy,0.045496449579488465,0.6851390668808244,0.13050222396850586,0.026407386650992314
paper_aux_h3,h3,t_a,step_010.npz,I1,sigma_xx,0.09372584761036283,0.3530605604723191,0.07901573181152344,0.013463206528700323
paper_aux_h3,h3,t_a,step_010.npz,I2,sigma_xx,0.2061722679356687,0.733534297168913,0.8867893218994141,0.013463206528700323
paper_aux_h3,h3,t_a,step_010.npz,I1,sigma_xy,0.02883028975408894,0.08733105819883727,0.07901573181152344,0.013463206528700323
paper_aux_h3,h3,t_a,step_010.npz,I2,sigma_xy,0.036342336406707,0.15566401924393294,0.8867893218994141,0.013463206528700323
paper_aux_h3,h3,t_a,step_010.npz,I1,sigma_yy,0.07803534783436727,0.46649446368914665,0.07901573181152344,0.013463206528700323
paper_aux_h3,h3,t_a,step_010.npz,I2,sigma_yy,0.03963706675242115,0.6972594101573913,0.8867893218994141,0.013463206528700323
