step,displacement,residual_force_abs
0,0.0,0.0
1,0.014000000000000002,6.159197969992765
2,0.028000000000000004,11.999123089418688
3,0.04200000000000001,17.245798012971555
4,0.05600000000000001,21.701659214324295
5,0.07,25.248024811924076
6,0.0722,25.744606240543753
7,0.07440000000000001,26.200209257962218
8,0.0766,26.625347740922027
9,0.07880000000000001,27.021235302590096
10,0.081,27.38546322924651
11,0.08320000000000001,27.71172858548465
12,0.0854,27.984123856680586
13,0.08760000000000001,28.143311875846784
14,0.0898,16.01823182942949
15,0.092,10.869050490837811
16,0.0942,7.071817321773596
17,0.0964,0.18547818437960928
18,0.09860000000000001,0.16954042072904787
19,0.1008,0.15682145212775345
20,0.10300000000000001,0.14142997587891054
21,0.1052,0.12566726663950473
22,0.1074,0.11530619257245348
23,0.1096,0.10633695412277674
24,0.11180000000000001,0.09607861943584133
25,0.114,0.08931709527894224
26,0.1162,0.08292813189678803
27,0.1184,0.07426962640764986
28,0.1206,0.06122467029109846
29,0.12279999999999999,0.05536907434672583
30,0.125,0.052219601061842806
