metric,value
solver_mode,standard:elastic_pardiso_parallel/phase_gmres_no_precond
history_source,from_u
n_load_steps,1701
n_converged_steps,1701
step_convergence_rate,1.0
total_wall_s,64058.67148420215
sum_step_s,63982.94681929052
avg_step_s,37.6149011283307
max_step_s,1405.8096050918102
sum_elastic_assemble_s,25970.447061255574
sum_elastic_solve_s,7459.830999612808
sum_phase_assemble_s,1713.8748295754194
sum_phase_solve_s,18600.782169803977
avg_elastic_assemble_s_per_step,15.267752534541783
avg_elastic_solve_s_per_step,4.385556143217406
avg_phase_assemble_s_per_step,1.0075689768227039
avg_phase_solve_s_per_step,10.935204097474413
avg_nonlinear_iters,1.0035273368606703
max_nonlinear_iters,6
avg_linear_niter_elastic,1.0
avg_linear_niter_phase,1.0
elastic_linear_convergence_rate,1.0
phase_linear_convergence_rate,1.0
elastic_linear_res_avg,0.0
elastic_linear_res_max,0.0
phase_linear_res_avg,2.2347333677992126e-14
phase_linear_res_max,4.534869309549129e-14
reaction_force_max,-0.0
reaction_force_min,-0.0
reaction_force_final,-0.0
reaction_force_abs_max,0.0
reaction_force_abs_min,0.0
reaction_force_abs_final,0.0
damage_max_final,1.0
damage_max_peak,1.0
